Sequence duration,Step type,Attribute,Action,Comment,Frame Number,Frame timer (ms),Step completion time
01:30:27.9,Digital Output,Right comp air,OFF,,1909871,73302505,17:20:43.565
01:30:27.9,Subroutine,Airpuff agitation,Iterations = 1,,1909871,73302505,17:20:43.565
01:30:27.9,Digital Output,Left odour shutoff,ON,,1909871,73302505,17:20:43.566
01:30:27.9,Digital Output,Right odour shutoff,ON,,1909871,73302505,17:20:43.567
01:30:32.9,Wait,5.00 sec,Delay,,1910001,73307495,17:20:48.567
01:30:32.9,Subroutine,Left RIght Puff,Iterations = 4,,1910001,73307495,17:20:48.567
01:30:32.9,Digital Output,Left airpuff,ON,,1910001,73307495,17:20:48.568
01:30:33.0,Wait,0.10 sec,Delay,,1910004,73307610,17:20:48.649
01:30:33.0,Digital Output,Left airpuff,OFF,,1910004,73307610,17:20:48.650
01:30:33.2,Wait,0.20 sec,Delay,,1910009,73307802,17:20:48.851
01:30:33.2,Digital Output,Right airpuff,ON,,1910009,73307802,17:20:48.852
01:30:33.3,Wait,0.10 sec,Delay,,1910012,73307917,17:20:48.953
01:30:33.3,Digital Output,Right airpuff,OFF,,1910012,73307917,17:20:48.954
01:30:33.5,Wait,0.20 sec,Delay,,1910017,73308109,17:20:49.155
01:30:33.5,Digital Output,Left airpuff,ON,,1910017,73308109,17:20:49.156
01:30:33.6,Wait,0.10 sec,Delay,,1910019,73308186,17:20:49.257
01:30:33.6,Digital Output,Left airpuff,OFF,,1910019,73308186,17:20:49.258
01:30:33.8,Wait,0.20 sec,Delay,,1910025,73308416,17:20:49.459
01:30:33.8,Digital Output,Right airpuff,ON,,1910025,73308416,17:20:49.460
01:30:33.9,Wait,0.10 sec,Delay,,1910027,73308493,17:20:49.561
01:30:33.9,Digital Output,Right airpuff,OFF,,1910027,73308493,17:20:49.562
01:30:34.1,Wait,0.20 sec,Delay,,1910033,73308723,17:20:49.763
01:30:34.1,Digital Output,Left airpuff,ON,,1910033,73308723,17:20:49.764
01:30:34.2,Wait,0.10 sec,Delay,,1910035,73308800,17:20:49.865
01:30:34.2,Digital Output,Left airpuff,OFF,,1910035,73308800,17:20:49.866
01:30:34.4,Wait,0.20 sec,Delay,,1910041,73309030,17:20:50.067
01:30:34.4,Digital Output,Right airpuff,ON,,1910041,73309030,17:20:50.068
01:30:34.5,Wait,0.10 sec,Delay,,1910043,73309107,17:20:50.149
01:30:34.5,Digital Output,Right airpuff,OFF,,1910043,73309107,17:20:50.150
01:30:34.7,Wait,0.20 sec,Delay,,1910048,73309299,17:20:50.351
01:30:34.7,Digital Output,Left airpuff,ON,,1910048,73309299,17:20:50.352
01:30:34.8,Wait,0.10 sec,Delay,,1910051,73309414,17:20:50.453
01:30:34.8,Digital Output,Left airpuff,OFF,,1910051,73309414,17:20:50.454
01:30:35.0,Wait,0.20 sec,Delay,,1910056,73309606,17:20:50.655
01:30:35.0,Digital Output,Right airpuff,ON,,1910056,73309606,17:20:50.656
01:30:35.1,Wait,0.10 sec,Delay,,1910059,73309721,17:20:50.757
01:30:35.1,Digital Output,Right airpuff,OFF,,1910059,73309721,17:20:50.758
01:30:35.3,Wait,0.20 sec,Delay,,1910064,73309913,17:20:50.959
01:30:35.3,Digital Output,Left odour shutoff,OFF,,1910064,73309913,17:20:50.960
01:30:35.3,Digital Output,Right odour shutoff,OFF,,1910064,73309913,17:20:50.961
01:30:35.3,Experiment State,Set state,Arousal Test: MCH(R) + OCT(L),,1910064,73309913,17:20:50.961
01:30:35.3,Digital Output,Left OCT,ON,,1910064,73309913,17:20:50.963
01:30:35.3,Digital Output,Right MCH,ON,,1910064,73309913,17:20:50.964
01:32:35.3,Wait,120.00 sec,Delay,Arousal test duration,1913191,73429925,17:22:50.966
01:32:35.3,Digital Output,Right MCH,OFF,,1913191,73429925,17:22:50.967
01:32:35.3,Digital Output,Left OCT,OFF,End Arousal test,1913191,73429925,17:22:50.969
01:32:35.3,Experiment State,Set state,Complete,,1913191,73429925,17:22:50.969
01:32:37.3,Plugin,Mutli-Fly Tracker,LOG Off,End test count,1913242,73431882,17:22:52.949
01:32:37.3,Plugin,Mutli-Fly Tracker,LOG Close,,1913242,73431882,17:22:52.949
17:22:52.9,End of Sequence,,,,,,
