Sequence duration,Step type,Attribute,Action,Comment,Frame Number,Frame timer (ms),Step completion time
00:10:12.7,Digital Output,Left airpuff,OFF,,95752,3692406,13:57:38.321
00:10:12.9,Wait,0.20 sec,Delay,,95758,3692637,13:57:38.522
00:10:12.9,Digital Output,Right airpuff,ON,,95758,3692637,13:57:38.523
00:10:13.0,Wait,0.10 sec,Delay,,95760,3692713,13:57:38.624
00:10:13.0,Digital Output,Right airpuff,OFF,,95760,3692713,13:57:38.625
00:10:13.2,Wait,0.20 sec,Delay,,95766,3692944,13:57:38.826
00:10:13.2,Digital Output,Left airpuff,ON,,95766,3692944,13:57:38.827
00:10:13.3,Wait,0.10 sec,Delay,,95768,3693020,13:57:38.927
00:10:13.3,Digital Output,Left airpuff,OFF,,95768,3693020,13:57:38.928
00:10:13.5,Wait,0.20 sec,Delay,,95773,3693212,13:57:39.128
00:10:13.5,Digital Output,Right airpuff,ON,,95773,3693212,13:57:39.129
00:10:13.6,Wait,0.10 sec,Delay,,95776,3693327,13:57:39.210
00:10:13.6,Digital Output,Right airpuff,OFF,,95776,3693327,13:57:39.211
00:10:13.8,Wait,0.20 sec,Delay,,95781,3693519,13:57:39.412
00:10:13.8,Digital Output,Left airpuff,ON,,95781,3693519,13:57:39.413
00:10:13.9,Wait,0.10 sec,Delay,,95783,3693596,13:57:39.513
00:10:13.9,Digital Output,Left airpuff,OFF,,95783,3693596,13:57:39.514
00:10:14.1,Wait,0.20 sec,Delay,,95789,3693826,13:57:39.714
00:10:14.1,Digital Output,Right airpuff,ON,,95789,3693826,13:57:39.715
00:10:14.2,Wait,0.10 sec,Delay,,95791,3693903,13:57:39.816
00:10:14.2,Digital Output,Right airpuff,OFF,,95791,3693903,13:57:39.817
00:10:14.4,Wait,0.20 sec,Delay,,95797,3694133,13:57:40.017
00:10:14.4,Digital Output,Left airpuff,ON,,95797,3694133,13:57:40.018
00:10:14.5,Wait,0.10 sec,Delay,,95799,3694210,13:57:40.118
00:10:14.5,Digital Output,Left airpuff,OFF,,95799,3694210,13:57:40.119
00:10:14.7,Wait,0.20 sec,Delay,,95804,3694402,13:57:40.320
00:10:14.7,Digital Output,Right airpuff,ON,,95804,3694402,13:57:40.321
00:10:14.8,Wait,0.10 sec,Delay,,95807,3694517,13:57:40.421
00:10:14.8,Digital Output,Right airpuff,OFF,,95807,3694517,13:57:40.422
00:10:15.0,Wait,0.20 sec,Delay,,95812,3694709,13:57:40.622
00:10:15.0,Digital Output,Left odour shutoff,OFF,,95812,3694709,13:57:40.623
00:10:15.0,Digital Output,Right odour shutoff,OFF,,95812,3694709,13:57:40.625
00:10:15.0,Experiment State,Set state,Arousal Test: MCH(R) + OCT(L),,95812,3694709,13:57:40.625
00:12:15.0,Wait,120.00 sec,Delay,Arousal test duration,98939,3814720,13:59:40.625
00:12:15.0,Digital Output,Right MCH,OFF,,98939,3814720,13:59:40.626
00:12:15.0,Digital Output,Left OCT,OFF,End Arousal test,98939,3814720,13:59:40.628
00:12:15.0,Plugin,Opto LED,All Off,,98939,3814720,13:59:40.628
00:12:15.0,Experiment State,Set state,Complete,,98939,3814720,13:59:40.628
00:12:17.0,Plugin,Mutli-Fly Tracker,LOG Off,End test count,98991,3816716,13:59:42.609
00:12:17.0,Plugin,Mutli-Fly Tracker,LOG Close,,98991,3816716,13:59:42.609
13:59:42.6,End of Sequence,,,,,,
